id,종목명,순번,가이드
PN001,고블릿 스쿼트,1,1. 어꺠너비로 보폭을 설정하고 발 끝은 20~30도 벌려줍니다
PN001,고블릿 스쿼트,2,2. 덤벨을 몸앞에 위치시키도록 양 손으로 강하게 잡습니다.
PN001,고블릿 스쿼트,3,3. 복부를 조이고 허리를 단단히 세운 상태에서 허벅지가 지면과 수평이 될 때까지 내려갑니다.
PN001,고블릿 스쿼트,4,4. 발바닥 중앙으로 강하게 밀어주며 일어납니다.
PN002,덤벨 로우,1,1. 던벨을 든 채로 무릎과 고관절을 이용하여 상체를 숙여주세요.
PN002,덤벨 로우,2,2. 노를 젓는다는 느낌으로 덤벨을 몸쪽으로 당겨주세요
PN002,덤벨 로우,3,3. 당기는 위치는 배 위쪽이 아닌 아랫배 쪽으로 당겨주세요
PN003,덤벨 벤치프레스,1,1. 벤치에 누워 두 다리를 땅에 잘 고정시켜주세요
PN003,덤벨 벤치프레스,2,2. 어깨를 뒤로 고정하고 가슴을 펴서 허리를 자연스러운 아치 모양으로 만들어주세요
PN003,덤벨 벤치프레스,3,3. 가슴 아래쪽(명치 위)로 덤벨을 자연스럽게 내려주세요
PN003,덤벨 벤치프레스,4,4. 양쪽 덤벨이 붙지 않게 어깨 너비정도로 자연스레 벌린채 운동합니다.
PN003,덤벨 벤치프레스,5,5. 과도하게 덤벨을 내리면 어깨에 무리가 갈 수 있으니 조심해주세요
PN004,덤벨 사이드 레터럴 레이즈,1,1. 두 다리를 어깨보다 좁게 벌리고 허리와 가슴을 곧게 펴 주세요
PN004,덤벨 사이드 레터럴 레이즈,2,2. 상체를 5~10도 정도 숙인채로 팔을 어깨 높이까지 들어주세요
PN004,덤벨 사이드 레터럴 레이즈,3,3. 이때, 어깨를 과도하게 으쓱하지 않도록 주의해주세요."
